Categoria,App,Paquete,Horas_Anio(16mar-25ago),Aperturas_Anio,Horas_Mes(2-25ago),Aperturas_Mes,Horas_Semana(21-25ago),Aperturas_Semana,Horas_Hoy(24-25ago),Aperturas_Hoy
Sistema y utilidades,MTP,com.samsung.android.mtp,0.007,5,0.006,2,0.006,2,0.006,2
Transporte y delivery,Passenger,com.didiglobal.passenger,0.007,2,0.0,0,0.0,0,0.0,0
Sistema y utilidades,Myfiles,com.sec.android.app.myfiles,0.006,5,0.001,1,0.0,0,0.0,0
Sistema y utilidades,Quickboard,com.samsung.android.mdx.quickboard,0.005,2,0.0,0,0.0,0,0.0,0
Sistema y utilidades,Earphone,com.mi.earphone,0.004,1,0.0,0,0.0,0,0.0,0
Sistema y utilidades,Credentialmanager,com.android.credentialmanager,0.004,115,0.0,0,0.0,0,0.0,0
Sistema y utilidades,Contacts,com.samsung.android.app.contacts,0.004,3,0.0,0,0.0,0,0.0,0
Compras,App,ar.com.carrefourargentina.app,0.004,3,0.0,0,0.0,0,0.0,0
Sistema y utilidades,Signin,com.osp.app.signin,0.004,5,0.0,0,0.0,0,0.0,0
Sistema y utilidades,Printspooler,com.android.printspooler,0.003,5,0.001,2,0.0,0,0.0,0
Sistema y utilidades,Controller,com.google.android.healthconnect.controller,0.002,1,0.0,0,0.0,0,0.0,0
Sistema y utilidades,Lool,com.samsung.android.lool,0.002,3,0.0,0,0.0,0,0.0,0
Gobierno y trámites,Monotributo,ar.gob.afip.mobile.android.contribuyentes.monotributo,0.001,1,0.0,0,0.0,0,0.0,0
Sistema y utilidades,Samsungapps,com.sec.android.app.samsungapps,0.0,6,0.0,0,0.0,0,0.0,0
Sistema y utilidades,Nfc,com.android.nfc,0.0,22,0.0,0,0.0,0,0.0,0
Sistema y utilidades,Honeyboard,com.samsung.android.honeyboard,0.0,7,0.0,0,0.0,0,0.0,0
Sistema y utilidades,Keychain,com.android.keychain,0.0,6,0.0,0,0.0,0,0.0,0
Streaming y entretenimiento,Plotdash,com.novatv.plotdash,0.0,1,0.0,0,0.0,0,0.0,0
Sistema y utilidades,Stk,com.android.stk,0.0,1,0.0,0,0.0,0,0.0,0
Sistema y utilidades,Passappuser,com.predictionlabs.passappuser,0.0,1,0.0,0,0.0,0,0.0,0
Finanzas y bancos,Benefits,com.visa.lac.benefits,0.0,1,0.0,0,0.0,0,0.0,0
Sistema y utilidades,Packageinstaller,com.google.android.packageinstaller,0.0,1,0.0,0,0.0,0,0.0,0
